file,feature_count,rules_risk_mean,iforest_anomaly_rate,degradation_mean
A-1.npy,25,0.23587962962962963,0.020370370370370372,2.912386659243125
A-2.npy,25,0.2432398281526409,0.020722769775082132,0.8944575114108944
A-3.npy,25,0.23388177940280316,0.019622181596587445,0.8617459658853318
A-4.npy,25,0.2396039603960396,0.020792079207920793,0.8667814359631802
A-5.npy,25,0.0,0.0,0.0006954809712015306
A-6.npy,25,0.007186166629238716,0.0,0.0004093812381788114
A-7.npy,25,0.003707565751361372,0.0,0.01263982689727209
A-8.npy,25,0.049194029850746265,0.002746268656716418,0.35202709714704494
A-9.npy,25,0.04671567465022528,0.002608489447474508,0.34893793636404835
B-1.npy,25,0.03804077573346594,0.0,0.059290766094085644
C-1.npy,55,0.26060070671378094,0.018109540636042403,1.037764455729506
C-2.npy,55,0.23695758166747927,0.010726474890297415,0.7171120013915278
D-1.npy,25,0.22881654718533317,0.004935950170407804,1.603355556587869
D-11.npy,25,0.04171713093796259,0.0006728569506122998,0.3743891615182249
D-12.npy,25,0.03233139681737813,0.0,0.037141386541872795
D-13.npy,25,0.10022184523032755,0.001565966331723868,0.21527156406730852
D-14.npy,55,0.2377142857142857,0.009142857142857144,5.96181423812567
D-15.npy,55,0.1742354031510658,0.027340129749768304,0.39299887620204166
D-16.npy,55,0.3199452304883615,0.013692377909630305,0.7768220606911458
D-2.npy,25,0.2174520069808028,0.01128563118091914,0.882932423421697
D-3.npy,25,0.2207175925925926,0.008796296296296297,0.8247396016683762
D-4.npy,25,0.22424170895786616,0.010149887879145522,0.826303321010972
D-5.npy,25,0.24528054535920293,0.007341373885684321,0.9085028762694272
D-6.npy,25,0.23554033485540335,0.006595636732623034,0.8773513074977948
D-7.npy,25,0.2541219576027218,0.012431300706621304,0.9659873974811896
D-8.npy,25,0.030099060198120395,0.000254000508001016,0.08280026886306878
D-9.npy,25,0.04118282473669997,0.0005401026194977045,0.045930949250126425
E-1.npy,25,0.22698449976514795,0.0031705025833724753,1.2003318841595354
E-10.npy,25,0.22433862433862434,0.0031746031746031746,1.216512649445454
E-11.npy,25,0.22715527366690158,0.003288700963119568,1.2157997429038567
E-12.npy,25,0.22556390977443608,0.003289473684210526,1.2150267352487114
E-13.npy,25,0.2273148148148148,0.008333333333333333,1.7538716315223162
E-2.npy,25,0.2429676511954993,0.012072198781059541,1.1771294721925671
E-3.npy,25,0.23570482725412303,0.012880703021548092,2.4331110662495763
E-4.npy,25,0.2380895379458942,0.011970313622216903,2.404363084726294
E-5.npy,25,0.2357125632987702,0.003978779840848806,2.4590084494034365
E-6.npy,25,0.24783132530120483,0.012771084337349397,2.445980052740698
E-7.npy,25,0.2312876052948255,0.0030084235860409147,1.201554169213572
E-8.npy,25,0.24496015002344115,0.01136896390060947,1.159778074895722
E-9.npy,25,0.23403999036376777,0.012045290291496025,2.43101110226034
F-1.npy,25,0.0984389561975769,0.002912395153774464,0.09424991921701922
F-2.npy,25,0.047182935311847904,0.0010433572919081847,0.05381428227523959
F-3.npy,25,0.24068767908309455,0.010386819484240688,2.39823922159459
F-4.npy,55,0.11426066627703098,0.013150204558737581,0.1483291707679009
F-5.npy,55,0.11779704232534421,0.011218765935747067,0.14874447862788068
F-7.npy,55,0.09477641472101306,0.009695290858725761,0.18334559011933338
F-8.npy,55,0.21712907117008443,0.014877362283876157,0.28540940663423475
G-1.npy,25,0.22883457314913214,0.01889243121974259,0.8469757356797355
G-2.npy,25,0.26558891454965355,0.008966173074310555,1.159120632812628
G-3.npy,25,0.25572277728594917,0.024155811306437333,1.1047684698622207
G-4.npy,25,0.0007861635220125787,0.0,0.0001052841951897655
G-6.npy,25,0.03611111111111111,0.0011574074074074073,0.05531029113181718
G-7.npy,25,0.0562959272636692,0.0013700336280981441,0.06037725537914117
M-1.npy,55,0.18225735617039965,0.0,0.23403416364081656
M-2.npy,55,0.18225735617039965,0.007905138339920948,0.2340052962104733
M-3.npy,55,0.17442407146215327,0.0014104372355430183,0.3109273822473152
M-4.npy,55,0.07801766437684005,0.0009813542688910696,0.3221841022602445
M-5.npy,55,0.16109422492401215,0.005644811115935736,0.290362492963246
M-6.npy,55,0.2816007808687164,0.0531966813079551,4.236677033745409
M-7.npy,55,0.17068645640074212,0.021335807050092765,0.5618947026970337
P-1.npy,25,0.24338624338624337,0.015873015873015872,0.8933535160908315
P-10.npy,55,0.11147540983606558,0.0013114754098360656,3.328923583680696
P-11.npy,55,0.0842998585572843,0.0,0.11430058227079656
P-14.npy,55,0.11147540983606558,0.0013114754098360656,3.328923583680696
P-15.npy,55,0.07282913165266107,0.0028011204481792717,0.10396196145609718
P-2.npy,25,0.28529662565476915,0.004019978072846876,2.4618876813910076
P-3.npy,25,0.26421759095725894,0.01130342635111268,1.177992276437346
P-4.npy,25,0.07130926378003341,0.0006424257998201208,0.08266076675834454
P-7.npy,25,0.023788873745508612,0.0007434023045471441,0.01731501483391062
R-1.npy,25,0.024572059635560462,0.000966316951960243,0.016521577198657728
S-1.npy,25,0.2434865639066976,0.01200381939708089,0.5612549986573149
S-2.npy,55,0.35467980295566504,0.033388067870826495,1.5083856147499426
T-1.npy,25,0.028564793311658152,0.0009289363678588017,0.06085723115940741
T-10.npy,55,0.19402985074626866,0.04328358208955224,0.1704157917823297
T-12.npy,55,0.05555555555555555,0.00205761316872428,0.5509760445779899
T-13.npy,55,0.05555555555555555,0.0032921810699588477,0.5493578085554034
T-2.npy,25,0.02388405797101449,0.0010434782608695651,0.07429710133763061
T-3.npy,25,0.014803590162023546,0.0004662548082527101,0.028372873603135385
T-4.npy,55,0.14749661705006767,0.036535859269282815,0.4332551029897285
T-5.npy,55,0.14743011722272317,0.03651938683498648,0.4178452218542494
T-8.npy,55,0.23633969716919026,0.04213298222514812,2.267138732484263
T-9.npy,55,0.16058394160583941,0.0018248175182481751,10.109167973866883
