file,feature_count,anomaly_rate,health_mean,health_min
A-1.npy,25,0.020370370370370372,96.98690383823971,10.000044099804606
A-2.npy,25,0.020722769775082132,92.51763172358766,1.703817542126096
A-3.npy,25,0.019622181596587445,92.99349940203898,3.0276019371517027
A-4.npy,25,0.020792079207920793,92.57550297553836,1.1383473032657632
A-5.npy,25,0.0,99.70695837444603,80.00042135103287
A-6.npy,25,0.0,99.30462613748628,45.35032337371734
A-7.npy,25,0.0,99.82381143165475,53.33360354914919
A-8.npy,25,0.002746268656716418,98.64474431646936,4.444491311742594
A-9.npy,25,0.002608489447474508,98.66741644360408,4.4444913199508385
B-1.npy,25,0.0,99.25513131977029,40.00001614700894
C-1.npy,55,0.018109540636042403,90.52002956111204,20.563742295216237
C-2.npy,55,0.010726474890297415,90.38087708602912,20.045077198226313
D-1.npy,25,0.004935950170407804,98.44278618496604,8.052401478302084
D-11.npy,25,0.0006728569506122998,99.44664355544799,0.02815349659373023
D-12.npy,25,0.0,99.4326853958309,40.720287491116636
D-13.npy,25,0.001565966331723868,98.91763762249883,3.909399973507355
D-14.npy,55,0.009142857142857144,93.34982968068148,20.01452390092814
D-15.npy,55,0.027340129749768304,86.33822383394536,1.6758064138160278
D-16.npy,55,0.013692377909630305,80.01941946184506,10.144877117747942
D-2.npy,25,0.01128563118091914,94.8886282443368,1.1164181718876565
D-3.npy,25,0.008796296296296297,95.16207928776105,7.5378453624539095
D-4.npy,25,0.010149887879145522,95.13014710073467,9.764920961056356
D-5.npy,25,0.007341373885684321,95.25480033330922,12.477712377390871
D-6.npy,25,0.006595636732623034,95.38621039939034,12.56189870133062
D-7.npy,25,0.012431300706621304,96.3259400343377,12.152761840047733
D-8.npy,25,0.000254000508001016,99.47279740928887,20.000046666625558
D-9.npy,25,0.0005401026194977045,99.17858473321628,20.000046666625558
E-1.npy,25,0.0031705025833724753,98.44644972761024,27.049338412017086
E-10.npy,25,0.0031746031746031746,98.4526037356799,27.056079666239807
E-11.npy,25,0.003288700963119568,98.43576507815551,19.37379539976243
E-12.npy,25,0.003289473684210526,98.15644144471274,18.162323418610992
E-13.npy,25,0.008333333333333333,97.91723140138846,10.000044099393124
E-2.npy,25,0.012072198781059541,98.02738654308564,19.367285208443484
E-3.npy,25,0.012880703021548092,98.45344263886699,6.15553935915345
E-4.npy,25,0.011970313622216903,98.48612730460829,6.155781095992385
E-5.npy,25,0.003978779840848806,98.80621104079948,6.154773223980392
E-6.npy,25,0.012771084337349397,98.41901186100696,6.1545201305367
E-7.npy,25,0.0030084235860409147,98.43365037095059,27.061684295978427
E-8.npy,25,0.01136896390060947,98.05249912943887,19.38389375171159
E-9.npy,25,0.012045290291496025,98.49221940915794,6.1547904584444595
F-1.npy,25,0.002912395153774464,98.40953967948504,6.399245232640649
F-2.npy,25,0.0010433572919081847,99.4011668249693,18.859703530746398
F-3.npy,25,0.010386819484240688,98.54227705337789,6.1545136830245095
F-4.npy,55,0.013150204558737581,89.77282494695373,5.58616826639523
F-5.npy,55,0.011218765935747067,91.82708102359526,12.358940304229215
F-7.npy,55,0.009695290858725761,93.42185232775893,13.273338089045073
F-8.npy,55,0.014877362283876157,85.29436381181388,4.7398754017153655
G-1.npy,25,0.01889243121974259,93.80802335272017,1.412071679768212
G-2.npy,25,0.008966173074310555,96.83119249717952,10.566731949991858
G-3.npy,25,0.024155811306437333,95.52760052350604,0.9765664236497162
G-4.npy,25,0.0,99.9476023556118,60.00001999999001
G-6.npy,25,0.0011574074074074073,99.25301262601104,0.12355809653963323
G-7.npy,25,0.0013700336280981441,99.01062951214848,0.10108076380036524
M-1.npy,55,0.0,85.02749689695038,40.0000728251511
M-2.npy,55,0.007905138339920948,84.90303677387766,0.00011200975555958337
M-3.npy,55,0.0014104372355430183,85.38341348774439,8.5177115959994
M-4.npy,55,0.0009813542688910696,88.99621244425869,8.360440967034165
M-5.npy,55,0.005644811115935736,86.26659626245221,0.4706077052200941
M-6.npy,55,0.0531966813079551,91.39903695004632,0.11274737488586872
M-7.npy,55,0.021335807050092765,89.13671333401841,20.502693707946605
P-1.npy,25,0.015873015873015872,95.04036784491532,8.5095568159397
P-10.npy,55,0.0013114754098360656,94.84211356138758,19.943816948682503
P-11.npy,55,0.0,96.74718969478107,57.907455586077475
P-14.npy,55,0.0013114754098360656,94.84211356138758,19.943816948682503
P-15.npy,55,0.0028011204481792717,95.1045886339601,16.868218044200077
P-2.npy,25,0.004019978072846876,98.65173293994944,6.155952090344218
P-3.npy,25,0.01130342635111268,97.964642150412,19.378527768083952
P-4.npy,25,0.0006424257998201208,98.82855987176914,0.43564466901441223
P-7.npy,25,0.0007434023045471441,98.8947637793715,1.294141215630773
R-1.npy,25,0.000966316951960243,98.9239763544841,1.203194540268504
S-1.npy,25,0.01200381939708089,96.19137497840308,12.659713414509499
S-2.npy,55,0.033388067870826495,81.36843918865937,21.3316852880437
T-1.npy,25,0.0009289363678588017,99.29633823415203,20.000044999959364
T-10.npy,55,0.04328358208955224,80.80333099440595,0.06270406995748656
T-12.npy,55,0.00205761316872428,96.67832320958725,19.518015300372582
T-13.npy,55,0.0032921810699588477,96.63157959615933,0.0329891418813788
T-2.npy,25,0.0010434782608695651,99.32354313182742,10.117445393328705
T-3.npy,25,0.0004662548082527101,99.50483445717406,5.508328517079708
T-4.npy,55,0.036535859269282815,86.69245995102438,0.6226100154023917
T-5.npy,55,0.03651938683498648,86.56932602610405,0.245973504628072
T-8.npy,55,0.04213298222514812,86.79799625643844,20.014673783675175
T-9.npy,55,0.0018248175182481751,94.54474096167093,39.9490924062762
